date,bitcoin,ethereum,cardano,doge,bcash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
11/6/2020,15565.88086,454.719299,0.109105,0.00276,257.720184,0.083874,12.118072,29.018,63.131111,119.481216,0.203561,1.000296,429.950012,91.410004,582.47998,45.389999,85.879997,145.009995
11/9/2020,15332.31543,444.163055,0.105325,0.00267,263.981323,0.079677,12.520735,28.018021,59.363884,115.659943,0.193507,1.000653,421.26001,89.029999,545.22998,45.599998,83.120003,142.610001
11/10/2020,15290.90234,449.679626,0.105805,0.002753,257.351807,0.079828,13.003463,28.193342,58.237343,115.334953,0.201769,1.001127,410.359985,87.660004,510.799988,45.439999,77.989998,140.110001
11/11/2020,15701.33984,462.960541,0.105965,0.002769,257.12149,0.080692,12.807538,27.956179,59.51503,113.365768,0.199676,1.000985,417.130005,90.879997,536.719971,46.349998,81.279999,147.690002
11/12/2020,16276.34375,461.00528,0.104525,0.002779,259.821533,0.080666,12.423223,27.614807,60.365379,112.046997,0.195202,1.000509,411.76001,89.82,538.27002,44.950001,81.839996,143.910004
11/13/2020,16317.80859,474.626434,0.106391,0.002821,259.171783,0.082318,12.887978,28.182173,65.457199,114.112709,0.202741,1.000345,408.5,93.220001,531.880005,45.459999,81.43,144.259995
11/16/2020,16716.11133,459.940308,0.104008,0.002886,250.139297,0.081896,12.59079,28.06411,71.326248,117.98246,0.198067,1.000412,408.089996,99.269997,540.609985,46.189999,83.730003,149.070007
11/17/2020,17645.40625,480.360077,0.1096,0.002936,255.288528,0.086075,13.244712,28.530581,75.852341,125.430389,0.205228,1.00084,441.609985,95.709999,536.890015,45.529999,83.360001,148.740005
11/18/2020,17804.00586,479.48407,0.106403,0.002909,247.126053,0.083615,13.592996,28.076162,73.694939,123.641983,0.200508,1.000399,486.640015,96.93,537.150024,45.060001,82.540001,147.050003
11/19/2020,17817.08984,471.630432,0.105866,0.002911,246.270081,0.083906,13.621882,28.094105,81.68367,118.385483,0.197609,1.000781,499.269989,96.610001,537.609985,45.619999,85.540001,147.529999
11/20/2020,18621.31445,509.744568,0.118226,0.002984,258.854889,0.088307,14.078273,28.891996,82.583153,120.944801,0.201729,1.000427,489.609985,95.330002,523.51001,45.389999,84.639999,146.029999
11/23/2020,18364.12109,608.454041,0.15351,0.003648,323.025818,0.130599,15.270844,30.965368,89.039314,129.889008,0.248167,1.000092,521.849976,98.129997,525.599976,46.060001,85.309998,143.820007
11/24/2020,19107.46484,603.897766,0.166323,0.004204,345.605133,0.19548,15.620665,33.80315,89.205376,135.200348,0.260847,0.999808,555.380005,96.639999,518.309998,47.009998,85.07,145.929993
11/25/2020,18732.12109,570.686646,0.155162,0.003727,312.777557,0.195202,14.260965,31.34296,81.880127,129.145874,0.256498,1.000053,574,97.489998,529.390015,47.049999,86.709999,144.080002
11/27/2020,17108.40234,517.493713,0.141028,0.003275,264.955322,0.206409,12.490259,28.475187,69.123871,117.31321,0.224218,1.0012,585.76001,98.739998,530.450012,47.450001,87.190002,143.830002
11/30/2020,19625.83594,614.842529,0.171308,0.003551,316.420197,0.202093,14.225639,31.392786,87.574631,129.714264,0.242441,1.000377,567.599976,97.019997,536.059998,48.349998,92.660004,147.169998
12/1/2020,18802.99805,587.324158,0.155983,0.003335,288.135834,0.184425,13.389535,30.108303,85.435768,125.928825,0.234132,1.001323,584.76001,100.860001,535.599976,49.560001,92.629997,151.259995
12/2/2020,19201.0918,598.352356,0.158557,0.003374,294.251068,0.185151,13.987366,30.297361,88.856514,127.89872,0.24077,1.000671,568.820007,99.540001,541.780029,49.900002,93.739998,149.979996
12/3/2020,19445.39844,616.70874,0.164212,0.003428,292.295349,0.184304,13.974721,30.70443,89.098969,133.017349,0.240909,1.00084,593.380005,99.5,535.840027,50.990002,92.309998,149.910004
12/4/2020,18699.76563,569.354187,0.148241,0.003298,280.708069,0.162855,12.741245,29.072208,80.017075,127.017944,0.22961,1.000237,599.039978,103.730003,542.330017,51.990002,94.040001,157.619995
12/7/2020,19191.63086,591.843384,0.15413,0.003342,283.894714,0.16846,13.080949,29.378136,83.624062,138.924637,0.235672,1.000571,641.76001,106.389999,544.27002,50.200001,94.07,158.020004
12/8/2020,18321.14453,554.827759,0.140928,0.003179,267.548462,0.152803,12.145714,27.636307,76.748657,135.71199,0.219709,0.999706,649.880005,105.639999,534,50.689999,92.919998,158.800003
12/9/2020,18553.91602,573.479126,0.148165,0.003158,268.709961,0.172224,12.63339,28.129305,77.41098,132.628235,0.219647,1.000384,604.47998,104.419998,517.22998,50.07,89.830002,156.020004
12/10/2020,18264.99219,559.678528,0.141994,0.003105,265.980682,0.161102,11.922199,27.69619,74.829559,133.896027,0.209597,1.000253,627.070007,104.230003,518.890015,50.259998,91.660004,155.75
12/11/2020,18058.9043,545.797363,0.139449,0.003079,259.331024,0.15118,11.660106,27.361004,72.087334,141.556137,0.203042,1.000458,609.98999,104.029999,520.530029,49.73,91.650002,144.279999
12/14/2020,19246.64453,586.011169,0.157992,0.003231,276.553101,0.169762,12.827553,30.029577,82.363159,152.683167,0.217582,0.999932,639.830017,103.559998,532.349976,50.470001,94.779999,146.289993
12/15/2020,19417.07617,589.355591,0.154305,0.003206,288.394379,0.166557,12.705471,29.547283,81.400673,150.995682,0.218846,1.000917,633.25,105.089996,534.419983,50.669998,97.120003,148.360001
12/16/2020,21310.59766,636.181824,0.167589,0.003416,311.419037,0.191401,13.451087,30.490194,92.789688,158.70459,0.232141,0.999979,622.77002,105.199997,529.700012,51.119999,96.849998,149.740005
12/17/2020,22805.16211,642.868958,0.163483,0.00373,310.301575,0.185935,13.467133,30.184134,100.959572,160.220963,0.226808,0.999838,655.900024,103.900002,533.650024,50.650002,96.839996,149.529999
12/18/2020,23137.96094,654.811951,0.164988,0.003858,312.779449,0.185127,13.511193,30.93836,109.384506,154.821121,0.249526,1.000868,695,104.279999,530.880005,47.459999,95.919998,147.419998
12/21/2020,22803.08203,609.817871,0.152656,0.004787,314.488922,0.166357,12.341995,32.269527,105.005394,146.271591,0.224854,0.999827,649.859985,104.830002,533.289978,46.360001,93.230003,146.800003
12/22/2020,23783.0293,634.854187,0.156179,0.004508,323.886505,0.162185,12.793933,33.482948,113.680367,156.173126,0.217977,0.999641,640.340027,103.940002,531.130005,46.169998,93.160004,146.339996
12/23/2020,23241.3457,583.7146,0.136394,0.003768,274.148407,0.126471,10.831312,31.097898,101.817062,150.897614,0.19238,0.999426,645.97998,103.760002,520.369995,46.57,91.550003,146.960007
12/24/2020,23735.94922,611.607178,0.152883,0.00457,296.282959,0.15962,11.575454,32.500591,111.565399,156.756287,0.218165,0.999931,661.77002,105.970001,519.75,47.07,91.809998,148.789993
12/28/2020,27084.80859,730.397339,0.176735,0.004592,362.092041,0.144375,12.628381,35.844559,130.050339,166.487076,0.210891,0.998603,663.690002,106.150002,516,47.07,91.599998,147.740005
12/29/2020,27362.4375,731.520142,0.192164,0.004486,353.090637,0.138815,11.771125,38.952831,129.040802,161.393219,0.205709,0.99859,665.98999,105.559998,517.72998,49.389999,90.620003,148.490005
12/30/2020,28840.95313,751.618958,0.18404,0.004636,358.808014,0.131913,11.253575,38.136299,129.46608,159.372498,0.201697,1.000275,694.780029,108.900002,525.830017,48.75,92.290001,149.949997
12/31/2020,29001.7207,737.803406,0.181397,0.004682,343.052643,0.12837,11.270538,37.376034,124.690323,156.572311,0.19966,1.000598,705.669983,109.040001,522.200012,49.82,91.709999,152.339996
1/4/2021,31971.91406,1040.233032,0.224762,0.009767,407.93692,0.16518,13.571063,40.926353,154.807327,133.602768,0.21787,1.000128,729.77002,111.699997,524.539978,49.669998,92.300003,148.5
1/5/2021,33992.42969,1100.006104,0.258314,0.00992,419.768127,0.194823,14.539868,41.7346,158.594772,136.825089,0.231887,1.002202,735.109985,112.769997,536.190002,50.610001,92.769997,152.429993
1/6/2021,36824.36328,1207.112183,0.331898,0.010465,454.484131,0.340793,17.155256,42.165955,169.016922,142.323288,0.250458,1.001528,755.97998,115.610001,504.579987,51.099998,90.330002,151.190002
1/7/2021,39371.04297,1225.678101,0.29998,0.009742,449.568726,0.315797,16.031967,43.44949,169.615952,143.103699,0.256766,1.0004,816.039978,121.43,533.76001,52.189999,95.160004,155.699997
1/8/2021,40797.60938,1224.197144,0.305597,0.009846,441.058228,0.302836,15.288085,42.395317,173.279877,142.529877,0.251023,1.000045,880.02002,118.690002,531.070007,51.650002,94.580002,156.639999
1/11/2021,35566.65625,1090.145386,0.275466,0.008835,479.587341,0.272238,14.556933,38.371361,139.252228,158.580917,0.229223,1.000587,811.190002,122.599998,544.859985,51.540001,97.25,156.110001
1/12/2021,33922.96094,1043.43457,0.287003,0.008063,450.279663,0.281743,13.915849,38.11161,132.63591,157.777557,0.230872,1.000414,849.440002,123,539.390015,53.240002,95.360001,154.449997
1/13/2021,37316.35938,1130.73938,0.313609,0.008616,495.78476,0.304022,15.930091,40.135933,147.421341,171.802261,0.249361,1.000017,854.409973,119.230003,541.27002,56.950001,91.779999,157.419998
