Date,TWH
2017-07-23,11.6804
2017-07-24,11.9961
2017-07-25,11.8172
2017-07-26,11.7962
2017-07-27,11.7797
2017-07-28,11.8469
2017-07-29,11.9297
2017-07-30,11.7737
2017-07-31,11.5321
2017-08-01,11.6512
2017-08-02,11.7564
2017-08-03,11.568
2017-08-04,11.8259
2017-08-05,11.9832
2017-08-06,11.8509
2017-08-07,11.8824
2017-08-08,11.9884
2017-08-09,12.3333
2017-08-10,12.8441
2017-08-11,13.0593
2017-08-12,13.1613
2017-08-13,13.8604
2017-08-14,14.1481
2017-08-15,14.6464
2017-08-16,14.6001
2017-08-17,15.2753
2017-08-18,15.3504
2017-08-19,15.5904
2017-08-20,15.3203
2017-08-21,15.0953
2017-08-22,14.1499
2017-08-23,14.5851
2017-08-24,13.36
2017-08-25,12.5822
2017-08-26,11.8321
2017-08-27,12.1189
2017-08-28,12.2555
2017-08-29,13.0709
2017-08-30,13.1102
2017-08-31,14.0023
2017-09-01,15.0561
2017-09-02,15.709
2017-09-03,15.508
2017-09-04,15.9599
2017-09-05,16.4141
2017-09-06,16.1702
2017-09-07,16.2351
