date,bitcoin,doge,stellar,little,monero,tether,tesla,tsmc,nvidia,intel,amd,qualcom
4/21/2016,449.424988,0.000226,0.001874,3.3464,0.977233,1,49.658001,25.16,36.41,31.969999,2.62,51.669998
4/22/2016,445.737,0.000224,0.001917,3.31927,0.980429,1,50.75,25.07,36.27,31.639999,3.99,52.639999
4/25/2016,461.425995,0.000227,0.001876,3.81172,0.953362,1,50.363998,25.01,36.450001,31.389999,3.45,52.43
4/26/2016,466.088989,0.00023,0.001819,4.0458,0.884295,1,50.748001,25.01,36.48,31.4,3.66,52.91
4/27/2016,444.687012,0.000224,0.001832,3.88971,0.941531,1,50.293999,25.25,37.310001,31.75,3.73,52.900002
4/28/2016,449.010986,0.000228,0.001904,3.7885,0.904794,1,49.542,24.16,36.200001,31.110001,3.61,52.130001
4/29/2016,455.096985,0.000226,0.001849,3.8136,0.883684,1,48.152,23.59,35.529999,30.280001,3.55,50.52
5/2/2016,444.669006,0.000229,0.001868,3.68031,0.964395,1,48.360001,23.690001,36,30.610001,3.74,51.110001
5/3/2016,450.303986,0.000228,0.001862,3.74091,0.908237,1,46.464001,23.32,35.57,30.360001,3.6,50.73
5/4/2016,446.721985,0.000225,0.001865,3.74679,0.916455,1,44.512001,23.42,34.759998,29.85,3.6,50.490002
5/5/2016,447.976013,0.000221,0.00184,3.71385,0.906841,1,42.306,23.5,34.970001,29.9,3.66,51.130001
5/6/2016,459.602997,0.000225,0.001829,3.82211,0.877466,1,42.986,23.41,35.330002,30.040001,3.68,50.919998
5/9/2016,460.483002,0.000224,0.001802,4.05643,0.825393,1,41.784,23.370001,35.279999,29.799999,3.65,51.200001
5/10/2016,450.894989,0.00022,0.001774,3.81915,0.829463,1,41.737999,23.389999,35.959999,30.139999,3.64,52.150002
5/11/2016,452.727997,0.000224,0.001797,3.88227,0.85971,1,41.792,23.219999,36.060001,30.059999,3.65,52.150002
