Date,bitcoin,ethereum,cardano,doge,bitcoin.cash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
4/3/2018,7456.109863,416.893005,0.172447,0.00298,712.877991,0.235691,0.295473,13.3607,134.470001,189.535004,0.211568,1.00037,53.506001,43.48,225.350006,49.75,9.55,54.779999
4/4/2018,6853.839844,380.542999,0.155356,0.00277,649.195984,0.204108,0.290161,12.1904,118.412003,170.100998,0.188309,1.00083,57.388,43.939999,226.240005,49.990002,9.77,54.990002
4/5/2018,6811.470215,383.231995,0.148758,0.002714,646.041992,0.19794,0.286925,12.4536,119.130997,173.309006,0.185819,1.00253,61.144001,43.32,221.380005,50.380001,10.02,55.040001
4/6/2018,6636.319824,370.285004,0.144451,0.00267,610.426025,0.193317,0.275062,12.2584,113.154999,162.003998,0.180172,1.00109,59.860001,42.419998,214.25,48.790001,9.61,53.119999
4/9/2018,6770.72998,398.526001,0.153106,0.002763,637.028992,0.197333,0.311528,11.8683,114.989998,167.065002,0.187006,0.997555,57.931999,43.07,215.410004,49.549999,9.53,53.43
4/10/2018,6834.759766,414.243011,0.156347,0.003043,649.616028,0.199344,0.355836,12.0362,114.263,165.570007,0.19898,0.997356,60.939999,43.580002,227.910004,51.27,9.98,54.77
4/11/2018,6968.319824,430.540009,0.166029,0.003396,666.580017,0.212337,0.359287,12.2309,118.291,169.160995,0.209018,1.00025,60.186001,43.380001,226.240005,51.099998,9.82,55.009998
4/12/2018,7889.25,492.94101,0.212233,0.003798,734.481995,0.24212,0.386811,12.9525,129.335007,191.944,0.233311,0.996831,58.816002,43.849998,234.600006,52.720001,10.08,55.200001
4/13/2018,7895.959961,492.734985,0.200532,0.003995,738.302002,0.24629,0.381543,13.5368,125.353996,188.867004,0.2421,0.998895,60.068001,42.650002,231.5,51.860001,9.93,55.73
4/16/2018,8058.669922,511.147003,0.256646,0.004585,766.473022,0.284156,0.409538,12.21,128.335007,194.100006,0.271688,0.997592,58.242001,42.869999,231.490005,52.400002,10.09,54.77
4/17/2018,7902.089844,502.894012,0.243724,0.004744,757.591003,0.300202,0.416794,11.7694,132.927994,195.751007,0.274953,0.998556,57.537998,42.310001,237.539993,53.540001,10.52,55.349998
4/18/2018,8163.419922,524.789001,0.260341,0.005412,888.90802,0.351544,0.44629,12.2757,139.996994,228.345001,0.361764,0.997609,58.669998,41.919998,236.369995,53.610001,10.36,55.23
4/19/2018,8294.30957,567.888977,0.272358,0.005824,968.638,0.36612,0.482795,12.3526,146.300003,238.606003,0.384186,0.997185,60.015999,39.529999,229.039993,52.220001,10.11,52.57
4/20/2018,8845.830078,615.718018,0.301247,0.005893,1128.02002,0.391165,0.481416,12.5752,155.537003,271.981995,0.407727,0.998338,58.048,38.950001,228.710007,51.529999,9.99,51.439999
4/23/2018,8930.879883,642.547974,0.288473,0.005482,1432.26001,0.372128,0.492385,13.6253,152.251999,283.299988,0.435824,0.997847,56.674,38.75,223.880005,51.099998,10.04,50.529999
4/24/2018,9697.5,708.15802,0.312875,0.0058,1426.420044,0.40067,0.536824,15.266,165.781006,296.036011,0.458046,1.00476,56.692001,38.75,221.199997,51.450001,10.09,49.939999
4/25/2018,8845.740234,615.416016,0.271654,0.005093,1284.790039,0.339517,0.434367,13.2909,144.764008,257.140991,0.403847,0.991809,56.138,38.169998,216.660004,51.380001,9.71,49.75
4/26/2018,9281.509766,662.809021,0.294295,0.005627,1420.410034,0.387556,0.490148,14.6536,153.679001,268.270996,0.43925,0.999614,57.096001,38.169998,225.220001,53.049999,11.04,50.470001
4/27/2018,8987.049805,647.031982,0.288489,0.005422,1337.849976,0.391085,0.452005,14.3291,145.904999,251.876007,0.418297,1.00415,58.816002,38.169998,226.330002,52.73,11.11,51.110001
4/30/2018,9240.549805,669.924011,0.343318,0.00521,1350.050049,0.424659,0.544691,14.3121,148.477005,242.455994,0.479718,0.998919,58.779999,38.450001,224.899994,51.619999,10.88,51.009998
