Date,bitcoin,ethereum,cardano,doge,bitcoin-cash,stellar,chainlink,biance,little,monero,bat,tether
13/1/2016,432.371002,1.1252,0,0.000177,0,0.001824,0,0,3.47602,0.484302,0,1.00045
14/1/2016,430.306,1.18959,0,0.000175,0,0.001914,0,0,3.46599,0.486483,0,1
15/1/2016,364.330994,1.20801,0,0.000149,0,0.001737,0,0,2.99678,0.428456,0,1
16/1/2016,387.536011,1.22029,0,0.000155,0,0.001748,0,0,3.08694,0.496668,0,1.00041
17/1/2016,382.299011,1.32747,0,0.000152,0,0.001714,0,0,3.02619,0.450774,0,1
18/1/2016,387.167999,1.42634,0,0.000151,0,0.001711,0,0,3.04896,0.502346,0,1
19/1/2016,380.148987,1.37139,0,0.000148,0,0.001826,0,0,3.01744,0.545904,0,1
20/1/2016,420.230011,1.53182,0,0.000168,0,0.001821,0,0,3.38853,0.535095,0,1
21/1/2016,410.261993,1.55357,0,0.000163,0,0.001738,0,0,3.22078,0.549362,0,1
22/1/2016,382.492004,1.50127,0,0.000168,0,0.001704,0,0,3.07657,0.536995,0,1.00007
23/1/2016,387.490997,1.97267,0,0.000172,0,0.001696,0,0,3.10348,0.61602,0,1.00015
24/1/2016,402.971008,2.1412,0,0.000193,0,0.001723,0,0,3.181,0.62205,0,1.00001
25/1/2016,391.726013,2.49927,0,0.000212,0,0.001709,0,0,3.12728,0.581354,0,1.00001
26/1/2016,392.153015,2.27637,0,0.000356,0,0.001901,0,0,3.15482,0.584982,0,1
27/1/2016,394.971985,2.38855,0,0.000455,0,0.002235,0,0,3.28745,0.61087,0,1
28/1/2016,380.289001,2.52649,0,0.000344,0,0.001908,0,0,3.12016,0.563129,0,0.999999
29/1/2016,379.473999,2.49496,0,0.000316,0,0.001888,0,0,3.11138,0.51825,0,0.999978
30/1/2016,378.255005,2.44506,0,0.000258,0,0.001735,0,0,3.0808,0.511528,0,1
31/1/2016,368.766998,2.30604,0,0.000277,0,0.001776,0,0,3.05216,0.483429,0,0.999999
1/2/2016,373.056,2.21169,0,0.00027,0,0.001792,0,0,3.07724,0.497962,0,0.999969
2/2/2016,374.447998,2.43964,0,0.000262,0,0.001796,0,0,3.07587,0.501037,0,1
3/2/2016,369.949005,2.52869,0,0.000265,0,0.001807,0,0,3.04753,0.491974,0,1
4/2/2016,389.593994,2.57804,0,0.000287,0,0.001803,0,0,3.16277,0.507164,0,1
5/2/2016,386.549011,2.53899,0,0.000305,0,0.001834,0,0,3.13741,0.496352,0,1
6/2/2016,376.522003,2.53446,0,0.000306,0,0.001864,0,0,3.099,0.480421,0,1
7/2/2016,376.619995,2.96434,0,0.000285,0,0.001852,0,0,3.08596,0.479407,0,1
