date,bitcoin,doge,little,tsmc,nvidia,intel,qualcom
4/27/2016,444.687012,0.000224,3.88971,25.25,37.310001,31.75,52.900002
4/28/2016,449.010986,0.000228,3.7885,24.16,36.200001,31.110001,52.130001
4/29/2016,455.096985,0.000226,3.8136,23.59,35.529999,30.280001,50.52
5/2/2016,444.669006,0.000229,3.68031,23.690001,36,30.610001,51.110001
5/3/2016,450.303986,0.000228,3.74091,23.32,35.57,30.360001,50.73
5/4/2016,446.721985,0.000225,3.74679,23.42,34.759998,29.85,50.490002
5/5/2016,447.976013,0.000221,3.71385,23.5,34.970001,29.9,51.130001
5/6/2016,459.602997,0.000225,3.82211,23.41,35.330002,30.040001,50.919998
5/9/2016,460.483002,0.000224,4.05643,23.370001,35.279999,29.799999,51.200001
5/10/2016,450.894989,0.00022,3.81915,23.389999,35.959999,30.139999,52.150002
5/11/2016,452.727997,0.000224,3.88227,23.219999,36.060001,30.059999,52.150002
5/12/2016,454.765991,0.000235,3.8568,22.99,35.57,29.76,51.509998
5/13/2016,455.670013,0.000236,3.92568,22.82,40.98,29.91,51.32
5/16/2016,454.162994,0.000229,4.00653,23.110001,42.189999,30.389999,51.91
5/17/2016,453.78299,0.000226,3.98313,22.950001,42.279999,29.98,51.990002
5/18/2016,454.618988,0.000228,4.00322,23.52,43.360001,29.99,52.790001
5/19/2016,438.714996,0.000225,3.83339,23.25,43.549999,29.629999,52.759998
5/20/2016,442.675995,0.000228,3.88101,23.91,44.330002,30.15,54.52
5/23/2016,444.154999,0.000225,3.96819,24.27,44.400002,30.23,54.18
5/24/2016,445.980988,0.000224,3.95141,24.469999,45.360001,31.059999,55.59
5/25/2016,449.598999,0.000224,4.04566,24.620001,45.169998,31.389999,55.98
5/26/2016,453.384003,0.000228,4.08247,24.790001,45.650002,31.49,55.740002
5/27/2016,473.463989,0.00023,4.50133,24.799999,45.900002,31.57,55.27
5/31/2016,531.385986,0.000231,4.65039,24.719999,46.720001,31.59,54.919998
6/1/2016,536.919983,0.000234,4.74099,25.25,46.810001,31.66,54.790001
6/2/2016,537.971985,0.00023,4.71505,25.18,47.139999,31.76,54.880001
6/3/2016,569.19397,0.000238,4.86097,25.530001,46.48,31.620001,54.939999
6/6/2016,585.536987,0.000236,4.95916,25.469999,46.240002,31.68,54.889999
6/7/2016,576.596985,0.00024,4.77078,26.059999,46.330002,31.879999,54.84
6/8/2016,581.64502,0.000246,4.74817,26.33,46.18,31.889999,54.939999
6/9/2016,574.630005,0.000265,4.69312,26.23,47.380001,31.940001,54.98
6/10/2016,577.469971,0.00026,4.84,25.860001,46.200001,32.040001,53.830002
6/13/2016,704.375977,0.000298,5.29032,25.629999,46.790001,32.169998,52.830002
6/14/2016,685.559021,0.00032,5.20402,25.57,46.880001,32.139999,52.700001
6/15/2016,694.468994,0.000313,5.23978,25.84,47.360001,31.610001,53.279999
6/16/2016,766.307983,0.000335,5.66079,25.860001,47.549999,31.690001,53.419998
6/17/2016,748.908997,0.000321,5.59327,25.85,46.720001,31.76,53.549999
6/20/2016,737.226013,0.000323,5.29454,26.370001,47.560001,32.169998,53.889999
6/21/2016,666.651978,0.000307,4.82175,26.59,47.27,32.32,53.880001
6/22/2016,596.116028,0.000266,3.9107,26.540001,47.23,32.290001,54.040001
6/23/2016,623.97699,0.00028,3.85051,26.809999,48.490002,32.990002,55.549999
