bitcoin,ethereum,doge,monero,tesla,tsmc,nvidia
0.004102725,-0.055691687,-0.00445435,-0.014982738,0.007785772,0.008206817,0.021391167
0.008079749,-0.016335588,0,-0.039891787,0.007634474,0.006111325,-0.004197576
0.008383383,-0.007661399,0.017699577,-0.006618558,0.024916918,0.006881225,0.010570545
0.043336402,-0.09571411,0.00873368,-0.001261003,-0.009282377,0.000403226,0.00546151
0.115412804,0.220132596,0.004338402,0.077961512,0.000851458,-0.003231021,0.017707199
0.010360415,-0.005399104,0.012903405,-0.015053294,-0.016577109,0.021213564,0.001924517
0.00195741,-0.018998751,-0.017241806,0.012825235,-0.002736456,-0.002776127,0.007025
0.056414786,0.007881221,0.034191365,0.019790355,0.000137002,0.013804242,-0.014099764
0.02830808,0.006292136,-0.008438869,0.063213059,0.007687667,-0.002353021,-0.005176845
-0.015385796,0.04063682,0.016807118,-0.001858949,0.051488061,0.022900284,0.001944475
0.008716774,-0.006519275,0.024692613,-0.005045493,0.013594041,0.01030744,-0.003242939
-0.012133966,-0.001325639,0.07439829,0.108794777,-0.02650297,-0.00380518,0.025653416
0.004930079,-0.034623626,-0.019048195,0.028455371,-0.047180522,-0.014206382,-0.0252204
0.198655829,0.235544889,0.136411855,0.111406401,-0.004213765,-0.008933911,0.012689707
-0.027077677,0.070749826,0.071227509,0.077762846,-0.01344659,-0.002343712,0.00192164
0.012912922,-0.028938189,-0.022117805,0.055128836,0.012666004,0.01050389,0.010186845
0.098436639,0.114873645,0.067927341,0.078093149,0.001055896,0.000773733,0.004003756
-0.022966679,-0.291877645,-0.042689409,0.102869779,-0.011352152,-0.000386811,-0.017609408
-0.015722965,-0.261418481,0.0062112,0.04383445,0.019441222,0.019916437,0.017819733
-0.100626374,0.116826269,-0.050804576,-0.130933373,-0.000409688,0.008308167,-0.006116248
-0.111832812,-0.016029553,-0.143351439,-0.072903636,-0.110376894,-0.001882139,-0.000846561
0.045678167,0.043418981,0.051293294,0.04081397,-0.001323004,0.010121848,0.026328348
0.064123088,0.046844681,0.003565066,0.019773677,-0.016686255,-0.043062436,-0.058603095
-0.015181549,-0.031771881,0.024605811,-0.074200444,0.027573817,-0.030844675,-0.010772842
-0.012707227,-0.131295946,0.044149785,0.006681442,0.01618667,0.014354313,0.014483465
-0.011051495,0.035151359,-0.01675081,0.039876471,0.040784234,0.021152336,0.01620781
0.0509496,-0.011941417,0.026668247,0.03802952,0.009894346,0.016529341,0.007687332
0.004384971,-0.021248924,-0.006600684,0.032882243,0.019684343,0.011372412,-0.007473036
-0.008417765,-0.139466072,-0.050944802,0.044269098,-0.011707948,-0.010229337,0.014679511
0.00994695,-0.007805038,-0.010507978,0.111374329,0.002147403,-0.004197678,0.006315895
-0.055814132,-0.040658173,-0.03220314,-0.018650185,0.006970612,0.006099867,0.025690184
0.039728728,0.119673875,0.007246409,0.040371813,0.0038824,0.015837473,0.039307227
-0.028710344,-0.085676707,-0.036768848,0.00109976,0.036239177,0.01743048,0.022748177
0.025747344,0.005444564,-0.007518832,0.001924192,-0.000578533,-0.00849191,0.014882912
-0.015288943,-0.001484541,-0.007575794,-0.026816235,-0.009481689,-0.002970667,-0.00037886
0.005500751,0.092071328,-0.003809528,0.036770751,-0.004503926,0.008148267,0.010179183
0.007836069,0.037370957,0.007604599,-0.007833134,-0.005113898,-0.003695533,-0.011696021
0.014743309,-0.079847495,-0.046520016,-0.018626949,0.02619646,0.023056795,0.00511026
-0.000359598,0.05163263,-0.028170877,-0.02710044,-0.004385336,-0.013476766,0.010329681
-0.010726667,0.069118519,-0.004089985,-0.076225388,0.013668107,0.010215302,0.012994447
-0.001011461,0.015943735,-0.029108084,-0.013076187,-0.035025703,-0.002544032,-0.018615578
-0.021880875,0.147539743,0,0.050451488,0.007995187,0.009416948,0.026880792
0.005331389,-0.057971174,0.033198069,0.008423989,0.034229928,0.004316589,0.01830594
-0.003542421,-0.143249852,-0.020619287,-0.010699951,-0.002176163,0.01672931,0.016917882
0.003932204,0.078823591,-0.012578782,0.06230506,-0.004454112,-0.008151738,-0.010116334
0.00104321,-0.010009225,0.004210533,-0.047139006,0.009235526,0.00142244,0.002138258
0.00298322,-0.003822426,0,0.020483416,0.017963482,-0.012875643,0.01624326
-0.080343162,-0.156451168,-0.065098902,-0.109192177,-0.020568733,0.029789436,-0.00650091
-0.102030104,-0.219266817,-0.079295603,-0.132875546,-0.0122921,-0.016203278,-0.012237432
0.033922473,0.158246266,0.038099846,0.058578454,-0.006225279,0,0.002673048
0.020852691,0.070227145,0.004662013,0.160623891,0.021122629,0.008486614,0.018339449
-0.005628873,-0.010688278,0.013857035,-0.031113755,-0.002518258,0.013638994,0.016807135
0.027462538,0.028868803,0.083565078,0.05884576,-0.016967088,0.010366333,0.009235588
-0.005518913,0.085101366,0,0.074793015,0.012828662,0.010600202,0.00255032
0.007292154,-0.00829118,0.008403411,-0.016977049,-0.015086183,-0.006141302,-0.006473634
-0.005050762,-0.037958581,-0.016878038,-0.018918176,-0.003284871,-0.002741606,0.020134392
-0.002653187,0.007465074,0.016878038,-0.014066764,0.003107611,0.003425868,0.054437424
-0.035194225,-0.048720548,-0.004192878,0.112260173,-8.87E-05,0.005116812,-0.000952246
0.017820377,-0.007039983,0.080688911,0.011023328,-0.008815729,-0.010603794,-0.00605197
-0.00734024,-0.035349118,-0.043571248,0.014874782,-0.001656059,-0.003444716,-0.023435351
0.001920623,0.00030685,0,-0.02051949,0.001208752,0.00619197,0.015416062
0.002281864,-0.000688218,-0.058349883,0.049656017,0.006644246,-0.0179936,0.002573176
0.01913883,0.034041404,-0.01731645,0.548976856,-0.009242604,-0.008415162,0.004167373
-0.005705202,-0.008152992,-0.008771986,0.167227807,0.008531217,0.003514942,0.006218628
-0.005556871,0.000489427,0.017467693,-0.063690868,-0.009922779,-0.003867152,-0.015538975
-0.004181595,0.028706858,-0.008695707,-0.064703982,-0.007484525,0.007369783,-0.006641314
0.003265936,-0.005473951,0.008695707,0.007849187,-0.004399599,0.001397589,0.008093278
